Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
20/03/2024,1563,1574.95,1552.35,1554.95,4759059
21/03/2024,1564,1576.95,1543.4,1554.7,11062497
22/03/2024,1521,1528.9,1498.2,1508.85,14673890
26/03/2024,1492,1507.45,1487.9,1492.65,8351081
27/03/2024,1496,1499,1481.55,1483.85,6857402
28/03/2024,1487.15,1511.8,1487.15,1498.05,12499530
01/04/2024,1525,1529.95,1492.8,1495.45,6580002
02/04/2024,1484.85,1493.15,1480.85,1482.85,7279400
03/04/2024,1479,1495.1,1475,1480.65,8736248
04/04/2024,1490.55,1495.65,1468,1486.7,11186915
05/04/2024,1480.05,1486.7,1476.05,1479.1,5072482
08/04/2024,1483,1490.95,1474.1,1476.7,6610887
09/04/2024,1490,1513.8,1487.3,1494.85,9423230
10/04/2024,1500.35,1509.85,1484.55,1506.8,6744595
12/04/2024,1504,1506.8,1479.5,1484.75,12275616
15/04/2024,1480,1491.95,1461.05,1468.15,8531224
16/04/2024,1451,1455.15,1413.05,1414.45,16173541
18/04/2024,1421.1,1444.7,1407.5,1419.25,22107945
19/04/2024,1385,1426.85,1378.75,1411.25,20603621
22/04/2024,1419.9,1436.85,1413.05,1432.75,5859087
23/04/2024,1443,1446.85,1433,1442.4,4856174
24/04/2024,1444.3,1444.3,1427.05,1430.75,4268213
25/04/2024,1420,1444.9,1420,1438.45,9089398
26/04/2024,1439.7,1445.4,1427,1430.25,8062444
29/04/2024,1429.95,1439.8,1428.25,1434.75,5055957
30/04/2024,1434.7,1436.55,1417.55,1420.55,6936588
02/05/2024,1413,1424,1411.85,1414.45,10076354
03/05/2024,1422.1,1424.8,1403.2,1416.3,8842345
06/05/2024,1420,1445.7,1417.1,1425.9,6445422
07/05/2024,1424.95,1443.35,1415.6,1440.95,6080661
08/05/2024,1435.25,1439.75,1425.6,1427.3,6234983
09/05/2024,1427.55,1449.95,1424.85,1439.55,6088406
10/05/2024,1435.05,1435.95,1413,1424.9,8777481
13/05/2024,1425,1425,1411.2,1423.45,3735954
14/05/2024,1426.4,1433.75,1418.05,1424.7,3463230
15/05/2024,1426,1431.8,1418.55,1419.95,4327544
16/05/2024,1433.95,1455.75,1427,1453.35,9249145
17/05/2024,1457,1457,1439.25,1444.3,7542860
18/05/2024,1445,1450,1442,1443.65,318277
21/05/2024,1430,1444.7,1428.4,1434.15,6752663
22/05/2024,1428.75,1459.95,1428,1454.8,7173285
23/05/2024,1454.7,1478.15,1450,1472.4,8641428
24/05/2024,1468.25,1475.5,1460,1465.1,5277938
27/05/2024,1471.85,1479.6,1460.25,1471.35,5821844
28/05/2024,1475.5,1476,1460.3,1467.05,6186922
29/05/2024,1465.4,1465.5,1450,1450.95,7401634
30/05/2024,1442.8,1449.85,1421.55,1427.45,9663150
31/05/2024,1409.8,1436.75,1400,1406.9,37113815
03/06/2024,1440,1440,1404,1405.9,10589244
04/06/2024,1409,1415,1358.35,1393.65,13736134
05/06/2024,1400.15,1438,1400.15,1430.1,9233424
06/06/2024,1444.95,1474.3,1437.5,1472.25,12660930
07/06/2024,1481,1539.7,1477.25,1533.6,24075302
10/06/2024,1525.3,1529.8,1497.3,1499.75,6810606
11/06/2024,1500.05,1506.45,1493.95,1495.75,4853054
12/06/2024,1507,1508.75,1482.75,1485.2,9564320
13/06/2024,1495,1505,1489.35,1493.95,7307565
14/06/2024,1503.7,1503.7,1486.05,1488.9,4237727
18/06/2024,1497,1507,1495.4,1498.2,5420939
19/06/2024,1505,1515.65,1496.7,1511.35,5493456
20/06/2024,1516.3,1517.5,1499.1,1515.4,7927010
21/06/2024,1545,1557.75,1523.7,1532.7,17301941
24/06/2024,1524.55,1529.1,1515.4,1527.15,5564989
25/06/2024,1526,1543.9,1520.35,1541.95,4551525
26/06/2024,1541,1548.85,1535,1540.7,4851004
27/06/2024,1538.45,1578.4,1532.05,1573.35,14757754
28/06/2024,1572.55,1588.5,1564.25,1566.75,8197544
01/07/2024,1559.5,1599.9,1559.5,1590.8,6801771
02/07/2024,1596.2,1633.8,1586.5,1621.05,10493173
03/07/2024,1625,1636,1606,1627.4,7269965
04/07/2024,1628.2,1660,1628,1650.65,8008311
05/07/2024,1651.45,1665.85,1633.35,1647.45,7065022
08/07/2024,1643.1,1666,1640,1661.65,5880533
09/07/2024,1659.9,1666.75,1651,1657.15,5191182
10/07/2024,1657,1674,1637.55,1648.25,9852770
11/07/2024,1656,1665,1642.05,1652.7,8857679
12/07/2024,1680,1719.75,1666.65,1711.75,17078316
15/07/2024,1726.2,1728,1702.65,1707.05,6942230
16/07/2024,1718.6,1737.9,1700,1726.05,6886281
16/07/2024,1718.6,1737.9,1700,1726.05,6886281
18/07/2024,1719,1765.4,1719,1758.05,11248896
19/07/2024,1844,1844,1786.45,1792.95,29819116
22/07/2024,1800.15,1823,1792.95,1810.85,8462126
23/07/2024,1810,1839.95,1783.25,1836.9,7113056
24/07/2024,1837.5,1842.35,1819.6,1833.95,6002845
25/07/2024,1820,1830.9,1812,1824.85,5815599
